Bezirk_Nummer,Bezirk_Name,Kategorie,Jahr,Daten
11,Simmering,Häuser,1590,207
11,Simmering,Häuser,1751,225
11,Simmering,Häuser,1783,281
11,Simmering,Häuser,1787,281
11,Simmering,Häuser,1794,329
11,Simmering,Häuser,1795,319
11,Simmering,Häuser,1822,376
11,Simmering,Häuser,1830,394
11,Simmering,Häuser,1851,454
11,Simmering,Häuser,1869,648
11,Simmering,Häuser,1880,1178
11,Simmering,Häuser,1890,1415
11,Simmering,Häuser,1910,1628
11,Simmering,Häuser,1923,1938
11,Simmering,Häuser,1934,2366
11,Simmering,Häuser,1951,2618
11,Simmering,Häuser,1961,2786
11,Simmering,Häuser,1971,3721
11,Simmering,Häuser,1981,5327
11,Simmering,Häuser,1991,6476
11,Simmering,Häuser,2001,7303
11,Simmering,Einwohner,1783,2122
11,Simmering,Einwohner,1794,2361
11,Simmering,Einwohner,1830,3691
11,Simmering,Einwohner,1846,5029
11,Simmering,Einwohner,1851,5225
11,Simmering,Einwohner,1857,7967
11,Simmering,Einwohner,1869,12848
11,Simmering,Einwohner,1880,21720
11,Simmering,Einwohner,1890,27591
11,Simmering,Einwohner,1900,34731
11,Simmering,Einwohner,1910,43111
11,Simmering,Einwohner,1923,40472
11,Simmering,Einwohner,1934,44258
11,Simmering,Einwohner,1939,50694
11,Simmering,Einwohner,1951,43317
11,Simmering,Einwohner,1961,48590
11,Simmering,Einwohner,1971,57738
11,Simmering,Einwohner,1981,66026
11,Simmering,Einwohner,1991,67045
11,Simmering,Einwohner,2001,76901
11,Simmering,Einwohner,2011,91087
20,Brigittenau,Häuser,1857,358
20,Brigittenau,Häuser,1900,1033
20,Brigittenau,Häuser,1910,1336
20,Brigittenau,Häuser,1923,1339
20,Brigittenau,Häuser,1934,1649
20,Brigittenau,Häuser,1951,1127
20,Brigittenau,Häuser,1961,1224
20,Brigittenau,Häuser,1971,1637
20,Brigittenau,Häuser,1981,2255
20,Brigittenau,Häuser,1991,2469
20,Brigittenau,Häuser,2001,2650
20,Brigittenau,Einwohner,1857,5772
20,Brigittenau,Einwohner,1869,15922
20,Brigittenau,Einwohner,1880,17250
20,Brigittenau,Einwohner,1890,37524
20,Brigittenau,Einwohner,1900,71445
20,Brigittenau,Einwohner,1910,101326
20,Brigittenau,Einwohner,1923,97403
20,Brigittenau,Einwohner,1934,98021
20,Brigittenau,Einwohner,1939,86146
20,Brigittenau,Einwohner,1951,72855
20,Brigittenau,Einwohner,1961,75671
20,Brigittenau,Einwohner,1971,81647
